,Time,Rate
0,0,60.0
1,1,125.0
2,2,32.25806451612903
3,3,107.14285714285714
4,4,120.0
5,5,60.0
6,6,120.0
7,7,52.63157894736842
8,8,130.43478260869566
9,9,120.0
10,10,120.0
11,11,125.0
12,12,129.23076923076923
13,13,90.9090909090909
14,14,57.69230769230769
15,15,125.0
16,16,124.00000000000001
17,17,124.00000000000001
18,18,136.36363636363637
19,19,136.36363636363637
20,20,124.00000000000001
21,21,115.38461538461539
22,22,115.38461538461539
23,23,130.43478260869566
24,24,130.43478260869566
25,25,120.0
26,26,130.43478260869566
27,27,120.0
28,28,120.0
29,29,120.0
30,30,128.0
31,31,124.00000000000001
32,32,120.0
33,33,125.0
34,34,124.00000000000001
35,35,125.0
36,36,124.00000000000001
37,37,142.85714285714286
38,38,142.85714285714286
39,39,124.00000000000001
40,40,33.333333333333336
41,41,75.0
42,42,28.846153846153847
43,43,31.914893617021274
44,44,120.0
45,45,124.00000000000001
46,46,120.0
47,47,120.0
48,48,125.0
49,49,130.43478260869566
50,50,125.0
51,51,125.0
52,52,130.43478260869566
53,53,124.00000000000001
54,54,125.0
55,55,125.0
56,56,120.0
57,57,125.0
58,58,124.00000000000001
59,59,125.0
60,60,125.0
61,61,130.43478260869566
62,62,130.43478260869566
63,63,120.0
64,64,125.0
65,65,125.0
66,66,125.0
67,67,124.00000000000001
68,68,124.00000000000001
69,69,124.00000000000001
70,70,124.00000000000001
71,71,124.00000000000001
72,72,142.85714285714286
73,73,130.43478260869566
74,74,128.0
75,75,128.0
76,76,130.43478260869566
77,77,120.0
78,78,130.43478260869566
79,79,128.0
80,80,136.36363636363637
81,81,125.0
82,82,128.0
83,83,128.0
84,84,136.36363636363637
85,85,136.36363636363637
86,86,128.0
87,87,128.0
88,88,128.0
89,89,120.0
90,90,130.43478260869566
91,91,128.0
92,92,130.43478260869566
93,93,128.0
94,94,115.38461538461539
95,95,130.43478260869566
96,96,132.0
97,97,124.00000000000001
98,98,120.0
99,99,125.0
100,100,120.0
101,101,125.0
102,102,125.0
103,103,124.00000000000001
104,104,124.00000000000001
105,105,124.00000000000001
106,106,125.0
107,107,124.00000000000001
108,108,124.00000000000001
109,109,124.00000000000001
110,110,120.0
111,111,120.0
112,112,124.00000000000001
113,113,128.0
114,114,120.0
115,115,128.0
116,116,128.0
117,117,128.0
118,118,125.0
119,119,125.0
120,120,128.0
121,121,125.0
122,122,120.0
123,123,130.43478260869566
124,124,130.43478260869566
125,125,120.0
126,126,124.00000000000001
127,127,85.71428571428571
128,128,120.0
129,129,125.0
130,130,115.38461538461539
131,131,55.55555555555555
132,132,40.0
133,133,40.0
134,134,60.0
135,135,125.0
136,136,125.0
137,137,125.0
138,138,130.43478260869566
139,139,130.43478260869566
140,140,125.0
141,141,187.5
142,142,187.5
143,143,115.38461538461539
144,144,115.38461538461539
145,145,107.14285714285714
146,146,115.38461538461539
147,147,128.0
148,148,128.0
149,149,142.85714285714286
150,150,136.36363636363637
151,151,120.0
152,152,142.85714285714286
153,153,136.36363636363637
154,154,130.43478260869566
155,155,132.0
156,156,115.38461538461539
157,157,120.0
158,158,120.0
159,159,120.0
160,160,120.0
161,161,132.0
162,162,132.0
163,163,132.0
164,164,136.36363636363637
165,165,132.0
166,166,130.43478260869566
167,167,128.0
168,168,115.38461538461539
169,169,115.38461538461539
170,170,125.0
171,171,128.0
172,172,128.0
173,173,120.0
174,174,125.0
175,175,124.00000000000001
176,176,120.0
177,177,124.00000000000001
178,178,124.00000000000001
179,179,136.36363636363637
180,180,120.0
181,181,125.0
182,182,125.0
183,183,128.0
184,184,128.0
185,185,107.14285714285714
186,186,128.0
187,187,187.5
188,188,128.0
189,189,166.66666666666669
190,190,150.0
191,191,128.0
192,192,125.0
193,193,115.38461538461539
194,194,128.0
195,195,128.0
196,196,128.0
197,197,53.57142857142857
198,198,63.82978723404255
199,199,20.833333333333336
200,200,125.0
201,201,125.0
202,202,128.0
203,203,115.38461538461539
204,204,111.1111111111111
205,205,115.38461538461539
206,206,115.38461538461539
207,207,116.0
208,208,120.0
209,209,116.0
210,210,116.0
211,211,61.224489795918366
212,212,61.224489795918366
213,213,120.0
214,214,120.0
215,215,130.43478260869566
216,216,128.0
217,217,130.43478260869566
218,218,125.0
219,219,128.0
220,220,128.0
221,221,128.0
222,222,128.0
223,223,128.0
224,224,128.0
225,225,130.43478260869566
226,226,132.0
227,227,136.36363636363637
228,228,132.0
229,229,132.0
230,230,125.0
231,231,128.0
232,232,115.38461538461539
233,233,120.0
234,234,128.0
235,235,130.43478260869566
236,236,130.43478260869566
237,237,130.43478260869566
238,238,130.43478260869566
239,239,132.0
240,240,125.0
241,241,125.0
242,242,124.00000000000001
243,243,124.00000000000001
244,244,124.00000000000001
245,245,130.43478260869566
246,246,124.00000000000001
247,247,125.0
248,248,124.00000000000001
249,249,124.00000000000001
250,250,62.5
251,251,125.0
252,252,124.00000000000001
253,253,125.0
254,254,125.0
255,255,120.0
256,256,125.0
257,257,125.0
258,258,124.00000000000001
259,259,130.43478260869566
