,Time,PPG
0,0.0,121.19332793643028
1,0.02,558.6722584037256
2,0.04,1142.188891770183
3,0.06,1464.8799690799674
4,0.08,1505.1343013241153
5,0.1,1552.3179187158503
6,0.12,1770.5130906196869
7,0.14,2114.2198985429336
8,0.16,2467.800147812447
9,0.18,2748.29682500809
10,0.2,2905.3625598456697
11,0.22,2913.289446909698
12,0.24,2803.362807781925
13,0.26,2650.127972827063
14,0.28,2498.0330794091424
15,0.3,2343.547071731149
16,0.32,2182.1015303387962
17,0.34,2033.2793040638676
18,0.36,1922.1333199514725
19,0.38,1853.9184432264929
20,0.4,1814.5180246095345
21,0.42,1823.8469686769718
22,0.44,1961.4300575244797
23,0.46,2233.827105692193
24,0.48,2493.082099043849
25,0.5,2596.6759079093663
26,0.52,2548.2707678690867
27,0.54,2448.073523712745
28,0.56,2391.555936513827
29,0.58,2430.2940840800284
30,0.6,2572.6355602991694
31,0.62,2780.022071224724
32,0.64,2969.474882519829
33,0.66,3043.6157013606794
34,0.68,2948.61633223434
35,0.7000000000000001,2713.946523045733
36,0.72,2417.2915554502697
37,0.74,2121.731842589265
38,0.76,1863.2155659878556
39,0.78,1669.1300683504514
40,0.8,1562.0985363909463
41,0.8200000000000001,1548.9036754173783
42,0.84,1613.7351942045257
43,0.86,1721.6408519995377
44,0.88,1830.231467852266
45,0.9,1906.5240419433267
46,0.92,1937.1437023769524
47,0.9400000000000001,1924.0232474293587
48,0.96,1865.3627436514998
49,0.98,1750.3769125511456
50,1.0,1602.0850284763073
51,1.02,1509.8546629294688
52,1.04,1575.9467752331686
53,1.06,1828.3130552030918
54,1.08,2198.8745667040293
55,1.1,2573.5259872457577
56,1.12,2843.382333305721
57,1.1400000000000001,2927.4175150712686
58,1.16,2804.2724954452024
59,1.18,2538.4367289226757
60,1.2,2237.993564803556
61,1.22,1980.0864693993922
62,1.24,1791.3298021119474
63,1.26,1676.6937078554147
64,1.28,1635.613118182671
65,1.3,1656.8180529201388
66,1.32,1716.1914331641156
67,1.34,1776.353711491391
68,1.36,1793.7357296294288
69,1.3800000000000001,1745.673817414279
70,1.4000000000000001,1647.7730537232997
71,1.42,1533.292163821971
